iso_country,municipality,icao_code,iata_code,coordinates
CN,Yuanmou,ZPYM,YUA,"101.88200378418, 25.737499237061"
CN,Zhangjiakou,ZBZJ,ZQZ,"114.930000305, 40.7386016846"
CN,Lincang,ZPLC,LNJ,"100.025001526, 23.738100051900002"
CN,Xigaz����,ZURK,RKZ,"89.311401, 29.3519"
CN,Panzhihua,ZUZH,PZI,"101.79852, 26.54"
CN,Foshan,ZGFS,FUO,"113.069999695, 23.083299636799996"
CN,Xinyang,ZHXY,XAI,"114.079141, 32.540819"
CN,Huizhou,ZGHZ,HUZ,"114.599998474, 23.0499992371"
CN,Ji'an,ZSJA,JGS,"114.736999512, 26.856899261499997"
CN,Baise,ZGBS,AEB,"106.959999084, 23.7206001282"
CN,Dongying,ZSDY,DOY,"118.788002014, 37.5085983276"
CN,Altay,ZWAT,AAT,"88.08580780030002, 47.7498855591"
CN,Tianshui,ZLTS,THQ,"105.86000061, 34.5593986511"
CN,Zhangye,ZLZY,YZY,"100.675003052, 38.8018989563"
CN,Dandong,ZYDD,DDG,"124.286003, 40.0247"
CY,Ge����itkale,LCGK,GEC,"33.724358, 35.235947"
CA,Cat Lake,CYAC,YAC,"-91.82440185546875, 51.72719955444336"
CA,Fort Frances,CYAG,YAG,"-93.439697265625, 48.65420150756836"
CA,La Grande-4,CYAH,YAH,"-73.6753005981, 53.754699707"
CA,Alert Bay,CYAL,YAL,"-126.91600036621094, 50.58219909667969"
CA,Sault Ste Marie,CYAM,YAM,"-84.509399, 46.485001"
CA,Kasabonika,CYAQ,XKS,"-88.6427993774414, 53.52470016479492"
CA,Kangirsuk,CYAS,YKG,"-69.99919891357422, 60.027198791503906"
CA,Attawapiskat,CYAT,YAT,"-82.43190002441406, 52.9275016784668"
CA,St. Anthony,CYAY,YAY,"-56.083099365200006, 51.3918991089"
CA,Tofino,CYAZ,YAZ,"-125.775583, 49.079833"
CA,Kugaaruk,CYBB,YBB,"-89.808098, 68.534401"
CA,Baie-Comeau,CYBC,YBC,"-68.204399, 49.1325"
CA,Bella Coola,CYBD,QBC,"-126.596001, 52.387501"
CA,Uranium City,CYBE,YBE,"-108.48100280761719, 59.5614013671875"
CA,Bonnyville,CYBF,YBY,"-110.744003, 54.304199"
CA,Bagotville,CYBG,YBG,"-70.99639892578125, 48.33060073852539"
CA,Baker Lake,CYBK,YBK,"-96.077796936, 64.29889678960001"
CA,Campbell River,CYBL,YBL,"-125.271004, 49.950802"
CA,Tadoule Lake,CYBQ,XTL,"-98.512199, 58.7061"
CA,Brandon,CYBR,YBR,"-99.951897, 49.91"
CA,Brochet,CYBT,YBT,"-101.679001, 57.8894"
CA,Berens River,CYBV,YBV,"-97.018303, 52.358898"
CA,Lourdes-De-Blanc-Sablon,CYBX,YBX,"-57.185298919699996, 51.443599700899995"
CA,Cartwright,CYCA,YRF,"-57.041900634765625, 53.68280029296875"
CA,Cambridge Bay,CYCB,YCB,"-105.138000488, 69.1081008911"
CA,Cornwall,CYCC,YCC,"-74.56330108642578, 45.09280014038086"
CA,Nanaimo,CYCD,YCD,"-123.869862556, 49.054970224899996"
CA,Centralia,CYCE,YCE,"-81.508301, 43.285599"
CA,Castlegar,CYCG,YCG,"-117.632003784, 49.2963981628"
CA,Miramichi,CYCH,YCH,"-65.449203, 47.007801"
CA,Charlo,CYCL,YCL,"-66.330299, 47.990799"
CA,Cochrane,CYCN,YCN,"-81.01360321044922, 49.10559844970703"
CA,Kugluktuk,CYCO,YCO,"-115.143997, 67.816704"
CA,Chetwynd,CYCQ,YCQ,"-121.62699890136719, 55.687198638916016"
CA,Cross Lake,CYCR,YCR,"-97.76080322265625, 54.610599517822266"
CA,Chesterfield Inlet,CYCS,YCS,"-90.73110198970001, 63.346900939899996"
CA,Clyde River,CYCY,YCY,"-68.5167007446, 70.4860992432"
CA,Dawson City,CYDA,YDA,"-139.1280059814453, 64.04309844970703"
CA,Burwash,CYDB,YDB,"-139.04100036621094, 61.37110137939453"
CA,Deer Lake,CYDF,YDF,"-57.39139938354492, 49.21080017089844"
CA,Ross River,CYDM,XRR,"-132.42300415, 61.9706001282"
CA,Dauphin,CYDN,YDN,"-100.052001953125, 51.100799560546875"
CA,Dolbeau-St-F����licien,CYDO,YDO,"-72.375, 48.778499603271"
CA,Nain,CYDP,YDP,"-61.680301666259766, 56.549198150634766"
CA,Dawson Creek,CYDQ,YDQ,"-120.18299865722656, 55.7422981262207"
CA,Edmonton,CYEG,YEG,"-113.580001831, 53.309700012200004"
CA,Arviat,CYEK,YEK,"-94.07080078119999, 61.0942001343"
CA,Elliot Lake,CYEL,YEL,"-82.5614013672, 46.351398468"
CA,Manitowaning,CYEM,YEM,"-81.85810089111328, 45.84280014038086"
CA,Estevan,CYEN,YEN,"-102.966003418, 49.2103004456"
CA,Fort Severn,CYER,YER,"-87.67610168457031, 56.01890182495117"
CA,Edson,CYET,YET,"-116.464996338, 53.578899383499994"
CA,Inuvik,CYEV,YEV,"-133.483001709, 68.30419921880001"
CA,Amos,CYEY,YEY,"-78.249702, 48.563903"
CA,Fort Albany,CYFA,YFA,"-81.6968994140625, 52.20140075683594"
CA,Iqaluit,CYFB,YFB,"-68.555801, 63.756402"
CA,Fredericton,CYFC,YFC,"-66.53720092773438, 45.868900299072266"
CA,Forestville,CYFE,YFE,"-69.09719848632812, 48.74610137939453"
CA,Fort Hope,CYFH,YFH,"-87.90779876708984, 51.5619010925293"
CA,Rivi����re Rouge,CYFJ,YTM,"-74.779999, 46.409401"
CA,Flin Flon,CYFO,YFO,"-101.68199920654297, 54.6781005859375"
CA,Fort Resolution,CYFR,YFR,"-113.690002441, 61.1808013916"
CA,Fort Simpson,CYFS,YFS,"-121.23699951171875, 61.76020050048828"
CA,Makkovik,CYFT,YMN,"-59.1864013671875, 55.076900482177734"
CA,Texada,CYGB,YGB,"-124.51799774169922, 49.69419860839844"
CA,Fort Good Hope,CYGH,YGH,"-128.6510009765625, 66.24079895019531"
CA,Kingston,CYGK,YGK,"-76.5969009399414, 44.22529983520508"
CA,La Grande Rivi����re,CYGL,YGL,"-77.7042007446289, 53.625301361083984"
CA,Gimli,CYGM,YGM,"-97.04329681396484, 50.62810134887695"
CA,Gods Lake Narrows,CYGO,YGO,"-94.49140167236328, 54.55889892578125"
CA,Gasp����,CYGP,YGP,"-64.4785995483, 48.7752990723"
CA,Geraldton,CYGQ,YGQ,"-86.93939971923828, 49.77830123901367"
CA,����les-de-la-Madeleine,CYGR,YGR,"-61.778099060058594, 47.42470169067383"
CA,Igloolik,CYGT,YGT,"-81.8161010742, 69.3647003174"
CA,Havre St-Pierre,CYGV,YGV,"-63.61140060424805, 50.281898498535156"
CA,Kuujjuarapik,CYGW,YGW,"-77.76529693603516, 55.281898498535156"
CA,Gillam,CYGX,YGX,"-94.71060180664062, 56.35749816894531"
CA,Grise Fiord,CYGZ,YGZ,"-82.90920257570001, 76.4261016846"
CA,Quaqtaq,CYHA,YQC,"-69.6177978515625, 61.0463981628418"
CA,Dryden,CYHD,YHD,"-92.744202, 49.831699"
CA,Hope,CYHE,YHE,"-121.498001099, 49.3683013916"
CA,Hearst,CYHF,YHF,"-83.68609619140625, 49.71419906616211"
CA,Nemiscau,CYHH,YNS,"-76.1355972290039, 51.69110107421875"
CA,Ulukhaktok,CYHI,YHI,"-117.80599975585938, 70.76280212402344"
CA,Gjoa Haven,CYHK,YHK,"-95.84970092770001, 68.635597229"
CA,Hamilton,CYHM,YHM,"-79.93499755859999, 43.173599243199995"
CA,Hornepayne,CYHN,YHN,"-84.75890350341797, 49.19309997558594"
CA,Hopedale,CYHO,YHO,"-60.228599548339844, 55.448299407958984"
CA,Chevery,CYHR,YHR,"-59.63669967651367, 50.46889877319336"
CA,Haines Junction,CYHT,YHT,"-137.54600524902344, 60.78919982910156"
CA,Montr����al,CYHU,YHU,"-73.4169006348, 45.5175018311"
CA,Hay River,CYHY,YHY,"-115.782997131, 60.8396987915"
CA,Halifax,CYHZ,YHZ,"-63.5085983276, 44.8807983398"
CA,Atikokan,CYIB,YIB,"-91.6386032104, 48.7738990784"
CA,Digby,CYID,YDG,"-65.7854247093, 44.5458450365"
CA,St-Augustin,CYIF,YIF,"-58.6582984924, 51.2117004395"
CA,Ivujivik,CYIK,YIK,"-77.92530059814453, 62.417301177978516"
CA,Pond Inlet,CYIO,YIO,"-77.9666976929, 72.6832962036"
CA,Island Lake,CYIV,YIV,"-94.65360260009766, 53.857200622558594"
CA,Fort Liard,CYJF,YJF,"-123.46900177, 60.235801696799996"
CA,St Jean,CYJN,YJN,"-73.28109741210938, 45.29439926147461"
CA,Stephenville,CYJT,YJT,"-58.54999923706055, 48.5442008972168"
CA,Kamloops,CYKA,YKA,"-120.444000244, 50.7022018433"
CA,Aklavik,CYKD,LAK,"-135.00599, 68.223297"
CA,Kitchener,CYKF,YKF,"-80.3786010742, 43.460800170899994"
CA,Kangiqsujuaq,CYKG,YWB,"-71.929397583, 61.5886001587"
CA,Key Lake,CYKJ,YKJ,"-105.61799621582031, 57.256099700927734"
CA,Schefferville,CYKL,YKL,"-66.8052978515625, 54.805301666259766"
CA,Akulivik,CYKO,AKV,"-78.14859771728516, 60.818599700927734"
CA,Waskaganish,CYKQ,YKQ,"-78.75830078125, 51.47330093383789"
CA,Kirkland Lake,CYKX,YKX,"-79.98139953613281, 48.21030044555664"
CA,Kindersley,CYKY,YKY,"-109.180999756, 51.5175018311"
CA,Toronto,CYKZ,YKZ,"-79.37000274658203, 43.86220169067383"
CA,Aupaluk,CYLA,YPJ,"-69.59970092773438, 59.29669952392578"
CA,Kimmirut,CYLC,YLC,"-69.88330078119999, 62.8499984741"
CA,Chapleau,CYLD,YLD,"-83.3467025756836, 47.81999969482422"
CA,Lansdowne House,CYLH,YLH,"-87.93419647216797, 52.19559860229492"
CA,Meadow Lake,CYLJ,YLJ,"-108.52300262451172, 54.125301361083984"
CA,Lutselk'e,CYLK,YSG,"-110.681998, 62.418303"
CA,Lloydminster,CYLL,YLL,"-110.072998046875, 53.309200286865234"
CA,Leaf Rapids,CYLR,YLR,"-99.98529815673828, 56.513301849365234"
CA,Alert,CYLT,YLT,"-62.2806015015, 82.51779937740001"
CA,Kangiqsualujjuaq,CYLU,XGR,"-65.9927978515625, 58.71139907836914"
CA,Kelowna,CYLW,YLW,"-119.377998352, 49.9561004639"
CA,Mayo,CYMA,YMA,"-135.8679962158203, 63.61640167236328"
CA,Matane,CYME,YME,"-67.45330047607422, 48.85689926147461"
CA,Manitouwadge,CYMG,YMG,"-85.86060333251953, 49.083900451660156"
CA,Mary's Harbour,CYMH,YMH,"-55.847198486328125, 52.302799224853516"
CA,Moose Jaw,CYMJ,YMJ,"-105.55899810791016, 50.330299377441406"
CA,Charlevoix,CYML,YML,"-70.2238998413086, 47.59749984741211"
CA,Fort McMurray,CYMM,YMM,"-111.222000122, 56.653301239"
CA,Moosonee,CYMO,YMO,"-80.60780334472656, 51.291099548339844"
CA,Chibougamau,CYMT,YMT,"-74.5280990600586, 49.77190017700195"
CA,Umiujaq,CYMU,YUD,"-76.51830291748047, 56.53609848022461"
CA,Montr����al,CYMX,YMX,"-74.038696, 45.679501"
CA,Natashquan,CYNA,YNA,"-61.78919982910156, 50.189998626708984"
CA,Wemindji,CYNC,YNC,"-78.83110046386719, 53.01060104370117"
CA,Gatineau,CYND,YND,"-75.563599, 45.521702"
CA,Norway House,CYNE,YNE,"-97.84420013427734, 53.95830154418945"
CA,Points North Landing,CYNL,YNL,"-104.08200073242188, 58.27669906616211"
CA,Matagami,CYNM,YNM,"-77.80280303955078, 49.76169967651367"
CA,Ekati,CYOA,YOA,"-110.614997864, 64.6988983154"
CA,Old Crow,CYOC,YOC,"-139.83900451660156, 67.57060241699219"
CA,Cold Lake,CYOD,YOD,"-110.27899932861328, 54.404998779296875"
CA,Oxford House,CYOH,YOH,"-95.27890014648438, 54.93330001831055"
CA,High Level,CYOJ,YOJ,"-117.16500091552734, 58.62139892578125"
CA,Oshawa,CYOO,YOO,"-78.894997, 43.922798"
CA,Rainbow Lake,CYOP,YOP,"-119.40799713134766, 58.49140167236328"
CA,Owen Sound,CYOS,YOS,"-80.8375015259, 44.5903015137"
CA,Ottawa,CYOW,YOW,"-75.66919708251953, 45.3224983215332"
CA,Prince Albert,CYPA,YPA,"-105.672996521, 53.214199066199996"
CA,Paulatuk,CYPC,YPC,"-124.075469971, 69.3608381154"
CA,Port Hawkesbury,CYPD,YPS,"-61.3680992126, 45.6567001343"
CA,Peace River,CYPE,YPE,"-117.446999, 56.226898"
CA,Portage la Prairie,CYPG,YPG,"-98.273817, 49.903099"
CA,Inukjuak,CYPH,YPH,"-78.07689666748047, 58.471900939941406"
CA,Pickle Lake,CYPL,YPL,"-90.21420288085938, 51.4463996887207"
CA,Pikangikum,CYPM,YPM,"-93.97329711914062, 51.819698333740234"
CA,Port-Menier,CYPN,YPN,"-64.2885971069336, 49.83639907836914"
CA,Peawanuck,CYPO,YPO,"-85.44329833984375, 54.98809814453125"
CA,Peterborough,CYPQ,YPQ,"-78.36329650878906, 44.22999954223633"
CA,Prince Rupert,CYPR,YPR,"-130.445007324, 54.286098480199996"
CA,Powell River,CYPW,YPW,"-124.5, 49.83420181274414"
CA,Puvirnituq,CYPX,YPX,"-77.28690338134766, 60.05059814453125"
CA,Fort Chipewyan,CYPY,YPY,"-111.11699676513672, 58.7672004699707"
CA,Muskoka,CYQA,YQA,"-79.30329895019531, 44.974700927734375"
CA,Quebec,CYQB,YQB,"-71.393303, 46.7911"
CA,The Pas,CYQD,YQD,"-101.09100341796875, 53.97140121459961"
CA,Red Deer,CYQF,YQF,"-113.89399719238281, 52.18220138549805"
CA,Windsor,CYQG,YQG,"-82.95559692382812, 42.27560043334961"
CA,Watson Lake,CYQH,YQH,"-128.82200622558594, 60.11640167236328"
CA,Yarmouth,CYQI,YQI,"-66.08809661865234, 43.826900482177734"
CA,Kenora,CYQK,YQK,"-94.36309814453125, 49.788299560546875"
CA,Lethbridge,CYQL,YQL,"-112.800003052, 49.6302986145"
CA,Moncton,CYQM,YQM,"-64.678596, 46.112202"
CA,Nakina,CYQN,YQN,"-86.69640350341797, 50.18280029296875"
CA,Comox,CYQQ,YQQ,"-124.88700103759766, 49.71080017089844"
CA,Regina,CYQR,YQR,"-104.66600036621094, 50.43190002441406"
CA,St Thomas,CYQS,YQS,"-81.11080169677734, 42.77000045776367"
CA,Thunder Bay,CYQT,YQT,"-89.32389831542969, 48.37189865112305"
CA,Grande Prairie,CYQU,YQU,"-118.885002136, 55.1796989441"
CA,Yorkton,CYQV,YQV,"-102.46199798583984, 51.26470184326172"
CA,North Battleford,CYQW,YQW,"-108.24400329589844, 52.76919937133789"
CA,Gander,CYQX,YQX,"-54.56809997558594, 48.9369010925293"
CA,Sydney,CYQY,YQY,"-60.047798, 46.1614"
CA,Quesnel,CYQZ,YQZ,"-122.51000213623047, 53.026100158691406"
CA,Gam����t����,CYRA,YRA,"-117.30999755859375, 64.11609649658203"
CA,Resolute Bay,CYRB,YRB,"-94.9693984985, 74.7169036865"
CA,Rivi����re-du-Loup,CYRI,YRI,"-69.58470153808594, 47.764400482177734"
CA,Roberval,CYRJ,YRJ,"-72.2656021118164, 48.52000045776367"
CA,Red Lake,CYRL,YRL,"-93.79309844970703, 51.066898345947266"
CA,Ottawa,CYRO,YRO,"-75.64610290530001, 45.4603004456"
CA,Trois-Rivi����res,CYRQ,YRQ,"-72.67939758300781, 46.35279846191406"
CA,Red Sucker Lake,CYRS,YRS,"-93.55719757080078, 54.167198181152344"
CA,Rankin Inlet,CYRT,YRT,"-92.1157989502, 62.8114013672"
CA,Revelstoke,CYRV,YRV,"-118.182998657, 50.9667015076"
CA,Sudbury,CYSB,YSB,"-80.79889678955078, 46.625"
CA,Sherbrooke,CYSC,YSC,"-71.69139862060547, 45.4385986328125"
CA,Stony Rapids,CYSF,YSF,"-105.84100341796875, 59.250301361083984"
CA,Smiths Falls,CYSH,YSH,"-75.94059753417969, 44.94580078125"
CA,Saint John,CYSJ,YSJ,"-65.89029693603516, 45.31610107421875"
CA,Sanikiluaq,CYSK,YSK,"-79.2466964722, 56.5377998352"
CA,St Leonard,CYSL,YSL,"-67.83470153808594, 47.157501220703125"
CA,Fort Smith,CYSM,YSM,"-111.96199798583984, 60.020301818847656"
CA,St Catharines,CYSN,YCM,"-79.17169952392578, 43.19169998168945"
CA,Marathon,CYSP,YSP,"-86.34439849853516, 48.75529861450195"
CA,St. Theresa Point,CYST,YST,"-94.85189819335938, 53.84560012817383"
CA,Summerside,CYSU,YSU,"-63.83359909057617, 46.44060134887695"
CA,Sachs Harbour,CYSY,YSY,"-125.242996216, 71.9938964844"
CA,Pembroke,CYTA,YTA,"-77.25170135498047, 45.86439895629883"
CA,Cape Dorset,CYTE,YTE,"-76.5267028809, 64.2300033569"
CA,Alma,CYTF,YTF,"-71.64189910889999, 48.50889968869999"
CA,Thompson,CYTH,YTH,"-97.86419677734375, 55.80110168457031"
CA,Big Trout Lake,CYTL,YTL,"-89.89689636230469, 53.81779861450195"
CA,Tasiujaq,CYTQ,YTQ,"-69.95580291748047, 58.66780090332031"
CA,Trenton,CYTR,YTR,"-77.5280990600586, 44.118900299072266"
CA,Timmins,CYTS,YTS,"-81.376701355, 48.569698333699996"
CA,Toronto,CYTZ,YTZ,"-79.396202, 43.627499"
CA,Tuktoyaktuk,CYUB,YUB,"-133.0260009765625, 69.43329620361328"
CA,Montr����al,CYUL,YUL,"-73.7407989502, 45.4706001282"
CA,Repulse Bay,CYUT,YUT,"-86.224701, 66.5214"
CA,Hall Beach,CYUX,YUX,"-81.2425, 68.77610015869999"
CA,Rouyn-Noranda,CYUY,YUY,"-78.83560180664062, 48.20610046386719"
CA,Bonaventure,CYVB,YVB,"-65.46029663085938, 48.07109832763672"
CA,La Ronge,CYVC,YVC,"-105.262001038, 55.151401519800004"
CA,Vernon,CYVK,YVE,"-119.33100128173828, 50.24810028076172"
CA,Qikiqtarjuaq,CYVM,YVM,"-64.03140258789999, 67.5457992554"
CA,Val-d'Or,CYVO,YVO,"-77.7827987671, 48.0532989502"
CA,Kuujjuaq,CYVP,YVP,"-68.4269027709961, 58.096099853515625"
CA,Norman Wells,CYVQ,YVQ,"-126.7979965209961, 65.28160095214844"
CA,Vancouver,CYVR,YVR,"-123.183998108, 49.193901062"
CA,Wiarton,CYVV,YVV,"-81.107201, 44.7458"
CA,Deer Lake,CYVZ,YVZ,"-94.0614013671875, 52.655799865722656"
CA,Petawawa,CYWA,YWA,"-77.31919860839844, 45.95220184326172"
CA,Winnipeg,CYWG,YWG,"-97.2398986816, 49.909999847399995"
CA,D����line,CYWJ,YWJ,"-123.43599700927734, 65.21109771728516"
CA,Wabush,CYWK,YWK,"-66.8644027709961, 52.92190170288086"
CA,Williams Lake,CYWL,YWL,"-122.054000854, 52.1831016541"
CA,Webequie,CYWP,YWP,"-87.3748683929, 52.9593933975"
CA,Wrigley,CYWY,YWY,"-123.43699645996094, 63.20940017700195"
CA,Cranbrook,CYXC,YXC,"-115.78199768066, 49.610801696777"
CA,Saskatoon,CYXE,YXE,"-106.69999694824219, 52.170799255371094"
CA,Medicine Hat,CYXH,YXH,"-110.72100067138672, 50.01890182495117"
CA,Fort St.John,CYXJ,YXJ,"-120.739998, 56.238098"
CA,Rimouski,CYXK,YXK,"-68.49690246582031, 48.47809982299805"
CA,Sioux Lookout,CYXL,YXL,"-91.9052963256836, 50.11389923095703"
CA,Whale Cove,CYXN,YXN,"-92.59809875490001, 62.24000167849999"
CA,Pangnirtung,CYXP,YXP,"-65.71360015869999, 66.1449966431"
CA,Beaver Creek,CYXQ,YXQ,"-140.86700439453125, 62.410301208496094"
CA,Earlton,CYXR,YXR,"-79.8473453522, 47.697400654599996"
CA,Prince George,CYXS,YXS,"-122.679000854, 53.8894004822"
CA,Terrace,CYXT,YXT,"-128.576009, 54.468498"
CA,London,CYXU,YXU,"-81.1539, 43.035599"
CA,Abbotsford,CYXX,YXX,"-122.36100006103516, 49.025299072265625"
CA,Whitehorse,CYXY,YXY,"-135.067001343, 60.7095985413"
CA,Wawa,CYXZ,YXZ,"-84.78669738769531, 47.96670150756836"
CA,North Bay,CYYB,YYB,"-79.422798, 46.363602"
CA,Calgary,CYYC,YYC,"-114.019996643, 51.113899231"
CA,Smithers,CYYD,YYD,"-127.18299865722656, 54.82469940185547"
CA,Fort Nelson,CYYE,YYE,"-122.597000122, 58.8363990784"
CA,Penticton,CYYF,YYF,"-119.60199737548828, 49.46310043334961"
CA,Charlottetown,CYYG,YYG,"-63.12110137939453, 46.290000915527344"
CA,Taloyoak,CYYH,YYH,"-93.576698, 69.5467"
CA,Victoria,CYYJ,YYJ,"-123.426002502, 48.646900177"
CA,Lynn Lake,CYYL,YYL,"-101.07599639892578, 56.86389923095703"
CA,Swift Current,CYYN,YYN,"-107.691001892, 50.291900634799994"
CA,Churchill,CYYQ,YYQ,"-94.06500244140625, 58.739200592041016"
CA,Goose Bay,CYYR,YYR,"-60.4258003235, 53.3191986084"
CA,St. John's,CYYT,YYT,"-52.7518997192, 47.618598938"
CA,Kapuskasing,CYYU,YYU,"-82.46749877929688, 49.41389846801758"
CA,Armstrong,CYYW,YYW,"-88.90969848632812, 50.29029846191406"
CA,Mont-Joli,CYYY,YYY,"-68.20809936523438, 48.60860061645508"
CA,Toronto,CYYZ,YYZ,"-79.63059997559999, 43.6772003174"
CA,Gore Bay,CYZE,YZE,"-82.56780242919922, 45.88529968261719"
CA,Yellowknife,CYZF,YZF,"-114.44000244140625, 62.462799072265625"
CA,Salluit,CYZG,YZG,"-75.66719818115234, 62.17940139770508"
CA,Slave Lake,CYZH,YZH,"-114.777000427, 55.2930984497"
CA,Sandspit,CYZP,YZP,"-131.813995361, 53.25429916379999"
CA,Sarnia,CYZR,YZR,"-82.30889892578125, 42.9994010925293"
CA,Coral Harbour,CYZS,YZS,"-83.3593978882, 64.1932983398"
CA,Port Hardy,CYZT,YZT,"-127.36699676513672, 50.680599212646484"
CA,Whitecourt,CYZU,YZU,"-115.78700256347656, 54.14390182495117"
CA,Sept-����les,CYZV,YZV,"-66.2656021118164, 50.22330093383789"
CA,Teslin,CYZW,YZW,"-132.7429962158203, 60.17279815673828"
CA,Greenwood,CYZX,YZX,"-64.91690063476562, 44.98440170288086"
CA,York Landing,CZAC,ZAC,"-96.08920288085938, 56.08940124511719"
CA,Salmon Arm,CZAM,YSN,"-119.228996, 50.682802"
CA,Vancouver,CZBB,YDT,"-123.012001, 49.0742"
CA,Ilford,CZBD,ILF,"-95.613899231, 56.0614013672"
CA,Bathurst,CZBF,ZBF,"-65.738899231, 47.629699707"
CA,Bromont,CZBM,ZBM,"-72.74140167239999, 45.2907981873"
CA,Kelsey,CZEE,KES,"-96.50969696039999, 56.0374984741"
CA,Eastmain River,CZEM,ZEM,"-78.52249908447266, 52.22639846801758"
CA,Faro,CZFA,ZFA,"-133.37600708007812, 62.20750045776367"
CA,Fond-Du-Lac,CZFD,ZFD,"-107.18199920654297, 59.33440017700195"
CA,Pukatawagan,CZFG,XPK,"-101.26599884, 55.7491989136"
CA,Fort Mcpherson,CZFM,ZFM,"-134.86099243164062, 67.40750122070312"
CA,Tulita,CZFN,ZFN,"-125.572998, 64.909697"
CA,Grand Forks,CZGF,ZGF,"-118.43099975585938, 49.01559829711914"
CA,Gods River,CZGI,ZGI,"-94.07859802246094, 54.839698791503906"
CA,Little Grand Rapids,CZGR,ZGR,"-95.4657974243164, 52.04560089111328"
CA,Jenpeg,CZJG,ZJG,"-98.04609680175781, 54.51890182495117"
CA,Swan River,CZJN,ZJN,"-101.23600006103516, 52.120601654052734"
CA,Kashechewan,CZKE,ZKE,"-81.67780303955078, 52.282501220703125"
CA,Thicket Portage,CZLQ,YTD,"-97.70780181884766, 55.31890106201172"
CA,Muskrat Dam,CZMD,MSA,"-91.76280212402344, 53.44139862060547"
CA,Pikwitonei,CZMN,PIW,"-97.16419982910156, 55.58890151977539"
CA,Masset,CZMT,ZMT,"-132.125, 54.02750015258789"
CA,Poplar River,CZNG,XPP,"-97.2741937637, 52.9965258788"
CA,Sachigo Lake,CZPB,ZPB,"-92.19640350341797, 53.8911018371582"
CA,Pincher Creek,CZPC,WPC,"-113.997001648, 49.520599365200006"
CA,Round Lake,CZRJ,ZRJ,"-91.31279754638672, 52.943599700927734"
CA,Sandy Lake,CZSJ,ZSJ,"-93.34439849853516, 53.06420135498047"
CA,South Indian Lake,CZSN,XSI,"-98.9072036743, 56.7928009033"
CA,Stewart,CZST,ZST,"-129.982434511, 55.935410448"
CA,Shamattawa,CZTM,ZTM,"-92.0813980102539, 55.8656005859375"
CA,Ignace,CZUC,ZUC,"-91.7177963256836, 49.4296989440918"
