name,iso_country,icao_code,iata_code,municipality,coordinates
CFB Bagotville,CA,CYBG,YBG,Bagotville,"-70.99639892578125, 48.33060073852539"
Baker Lake Airport,CA,CYBK,YBK,Baker Lake,"-96.077796936, 64.29889678960001"
Campbell River Airport,CA,CYBL,YBL,Campbell River,"-125.271004, 49.950802"
Tadoule Lake Airport,CA,CYBQ,XTL,Tadoule Lake,"-98.512199, 58.7061"
Brandon Municipal Airport,CA,CYBR,YBR,Brandon,"-99.951897, 49.91"
Brochet Airport,CA,CYBT,YBT,Brochet,"-101.679001, 57.8894"
Berens River Airport,CA,CYBV,YBV,Berens River,"-97.018303, 52.358898"
Lourdes de Blanc Sablon Airport,CA,CYBX,YBX,Lourdes-De-Blanc-Sablon,"-57.185298919699996, 51.443599700899995"
Cartwright Airport,CA,CYCA,YRF,Cartwright,"-57.041900634765625, 53.68280029296875"
Cambridge Bay Airport,CA,CYCB,YCB,Cambridge Bay,"-105.138000488, 69.1081008911"
Cornwall Regional Airport,CA,CYCC,YCC,Cornwall,"-74.56330108642578, 45.09280014038086"
Nanaimo Airport,CA,CYCD,YCD,Nanaimo,"-123.869862556, 49.054970224899996"
Centralia / James T. Field Memorial Aerodrome,CA,CYCE,YCE,Centralia,"-81.508301, 43.285599"
Castlegar/West Kootenay Regional Airport,CA,CYCG,YCG,Castlegar,"-117.632003784, 49.2963981628"
Miramichi Airport,CA,CYCH,YCH,Miramichi,"-65.449203, 47.007801"
Charlo Airport,CA,CYCL,YCL,Charlo,"-66.330299, 47.990799"
Cochrane Airport,CA,CYCN,YCN,Cochrane,"-81.01360321044922, 49.10559844970703"
Kugluktuk Airport,CA,CYCO,YCO,Kugluktuk,"-115.143997, 67.816704"
Chetwynd Airport,CA,CYCQ,YCQ,Chetwynd,"-121.62699890136719, 55.687198638916016"
Cross Lake (Charlie Sinclair Memorial) Airport,CA,CYCR,YCR,Cross Lake,"-97.76080322265625, 54.610599517822266"
Chesterfield Inlet Airport,CA,CYCS,YCS,Chesterfield Inlet,"-90.73110198970001, 63.346900939899996"
Clyde River Airport,CA,CYCY,YCY,Clyde River,"-68.5167007446, 70.4860992432"
Dawson City Airport,CA,CYDA,YDA,Dawson City,"-139.1280059814453, 64.04309844970703"
Burwash Airport,CA,CYDB,YDB,Burwash,"-139.04100036621094, 61.37110137939453"
Deer Lake Airport,CA,CYDF,YDF,Deer Lake,"-57.39139938354492, 49.21080017089844"
Ross River Airport,CA,CYDM,XRR,Ross River,"-132.42300415, 61.9706001282"
Dauphin Barker Airport,CA,CYDN,YDN,Dauphin,"-100.052001953125, 51.100799560546875"
Dolbeau St Felicien Airport,CA,CYDO,YDO,Dolbeau-St-F����licien,"-72.375, 48.778499603271"
Nain Airport,CA,CYDP,YDP,Nain,"-61.680301666259766, 56.549198150634766"
Dawson Creek Airport,CA,CYDQ,YDQ,Dawson Creek,"-120.18299865722656, 55.7422981262207"
Edmonton International Airport,CA,CYEG,YEG,Edmonton,"-113.580001831, 53.309700012200004"
Arviat Airport,CA,CYEK,YEK,Arviat,"-94.07080078119999, 61.0942001343"
Elliot Lake Municipal Airport,CA,CYEL,YEL,Elliot Lake,"-82.5614013672, 46.351398468"
Manitoulin East Municipal Airport,CA,CYEM,YEM,Manitowaning,"-81.85810089111328, 45.84280014038086"
Estevan Airport,CA,CYEN,YEN,Estevan,"-102.966003418, 49.2103004456"
Fort Severn Airport,CA,CYER,YER,Fort Severn,"-87.67610168457031, 56.01890182495117"
Edson Airport,CA,CYET,YET,Edson,"-116.464996338, 53.578899383499994"
Inuvik Mike Zubko Airport,CA,CYEV,YEV,Inuvik,"-133.483001709, 68.30419921880001"
Amos/Magny Airport,CA,CYEY,YEY,Amos,"-78.249702, 48.563903"
Fort Albany Airport,CA,CYFA,YFA,Fort Albany,"-81.6968994140625, 52.20140075683594"
Iqaluit Airport,CA,CYFB,YFB,Iqaluit,"-68.555801, 63.756402"
Fredericton Airport,CA,CYFC,YFC,Fredericton,"-66.53720092773438, 45.868900299072266"
Forestville Airport,CA,CYFE,YFE,Forestville,"-69.09719848632812, 48.74610137939453"
Fort Hope Airport,CA,CYFH,YFH,Fort Hope,"-87.90779876708984, 51.5619010925293"
La Macaza / Mont-Tremblant International Inc Airport,CA,CYFJ,YTM,Rivi����re Rouge,"-74.779999, 46.409401"
Flin Flon Airport,CA,CYFO,YFO,Flin Flon,"-101.68199920654297, 54.6781005859375"
Fort Resolution Airport,CA,CYFR,YFR,Fort Resolution,"-113.690002441, 61.1808013916"
Fort Simpson Airport,CA,CYFS,YFS,Fort Simpson,"-121.23699951171875, 61.76020050048828"
Makkovik Airport,CA,CYFT,YMN,Makkovik,"-59.1864013671875, 55.076900482177734"
Texada Gillies Bay Airport,CA,CYGB,YGB,Texada,"-124.51799774169922, 49.69419860839844"
Fort Good Hope Airport,CA,CYGH,YGH,Fort Good Hope,"-128.6510009765625, 66.24079895019531"
Kingston Norman Rogers Airport,CA,CYGK,YGK,Kingston,"-76.5969009399414, 44.22529983520508"
La Grande Rivi����re Airport,CA,CYGL,YGL,La Grande Rivi����re,"-77.7042007446289, 53.625301361083984"
Gimli Industrial Park Airport,CA,CYGM,YGM,Gimli,"-97.04329681396484, 50.62810134887695"
Gods Lake Narrows Airport,CA,CYGO,YGO,Gods Lake Narrows,"-94.49140167236328, 54.55889892578125"
Gasp���� (Michel-Pouliot) Airport,CA,CYGP,YGP,Gasp����,"-64.4785995483, 48.7752990723"
Geraldton Greenstone Regional Airport,CA,CYGQ,YGQ,Geraldton,"-86.93939971923828, 49.77830123901367"
����les-de-la-Madeleine Airport,CA,CYGR,YGR,����les-de-la-Madeleine,"-61.778099060058594, 47.42470169067383"
Igloolik Airport,CA,CYGT,YGT,Igloolik,"-81.8161010742, 69.3647003174"
Havre St Pierre Airport,CA,CYGV,YGV,Havre St-Pierre,"-63.61140060424805, 50.281898498535156"
Kuujjuarapik Airport,CA,CYGW,YGW,Kuujjuarapik,"-77.76529693603516, 55.281898498535156"
Gillam Airport,CA,CYGX,YGX,Gillam,"-94.71060180664062, 56.35749816894531"
Grise Fiord Airport,CA,CYGZ,YGZ,Grise Fiord,"-82.90920257570001, 76.4261016846"
Quaqtaq Airport,CA,CYHA,YQC,Quaqtaq,"-69.6177978515625, 61.0463981628418"
Dryden Regional Airport,CA,CYHD,YHD,Dryden,"-92.744202, 49.831699"
Hope Airport,CA,CYHE,YHE,Hope,"-121.498001099, 49.3683013916"
Hearst Ren���� Fontaine Municipal Airport,CA,CYHF,YHF,Hearst,"-83.68609619140625, 49.71419906616211"
Nemiscau Airport,CA,CYHH,YNS,Nemiscau,"-76.1355972290039, 51.69110107421875"
Ulukhaktok Holman Airport,CA,CYHI,YHI,Ulukhaktok,"-117.80599975585938, 70.76280212402344"
Gjoa Haven Airport,CA,CYHK,YHK,Gjoa Haven,"-95.84970092770001, 68.635597229"
John C. Munro Hamilton International Airport,CA,CYHM,YHM,Hamilton,"-79.93499755859999, 43.173599243199995"
Hornepayne Municipal Airport,CA,CYHN,YHN,Hornepayne,"-84.75890350341797, 49.19309997558594"
Hopedale Airport,CA,CYHO,YHO,Hopedale,"-60.228599548339844, 55.448299407958984"
Chevery Airport,CA,CYHR,YHR,Chevery,"-59.63669967651367, 50.46889877319336"
Haines Junction Airport,CA,CYHT,YHT,Haines Junction,"-137.54600524902344, 60.78919982910156"
Montr����al / Saint-Hubert Airport,CA,CYHU,YHU,Montr����al,"-73.4169006348, 45.5175018311"
Hay River / Merlyn Carter Airport,CA,CYHY,YHY,Hay River,"-115.782997131, 60.8396987915"
Halifax / Stanfield International Airport,CA,CYHZ,YHZ,Halifax,"-63.5085983276, 44.8807983398"
Atikokan Municipal Airport,CA,CYIB,YIB,Atikokan,"-91.6386032104, 48.7738990784"
Digby / Annapolis Regional Airport,CA,CYID,YDG,Digby,"-65.7854247093, 44.5458450365"
St Augustin Airport,CA,CYIF,YIF,St-Augustin,"-58.6582984924, 51.2117004395"
Ivujivik Airport,CA,CYIK,YIK,Ivujivik,"-77.92530059814453, 62.417301177978516"
Pond Inlet Airport,CA,CYIO,YIO,Pond Inlet,"-77.9666976929, 72.6832962036"
Island Lake Airport,CA,CYIV,YIV,Island Lake,"-94.65360260009766, 53.857200622558594"
Fort Liard Airport,CA,CYJF,YJF,Fort Liard,"-123.46900177, 60.235801696799996"
St Jean Airport,CA,CYJN,YJN,St Jean,"-73.28109741210938, 45.29439926147461"
Stephenville Airport,CA,CYJT,YJT,Stephenville,"-58.54999923706055, 48.5442008972168"
Kamloops Airport,CA,CYKA,YKA,Kamloops,"-120.444000244, 50.7022018433"
Aklavik/Freddie Carmichael Airport,CA,CYKD,LAK,Aklavik,"-135.00599, 68.223297"
Waterloo Airport,CA,CYKF,YKF,Kitchener,"-80.3786010742, 43.460800170899994"
Kangiqsujuaq (Wakeham Bay) Airport,CA,CYKG,YWB,Kangiqsujuaq,"-71.929397583, 61.5886001587"
Key Lake Airport,CA,CYKJ,YKJ,Key Lake,"-105.61799621582031, 57.256099700927734"
Schefferville Airport,CA,CYKL,YKL,Schefferville,"-66.8052978515625, 54.805301666259766"
Akulivik Airport,CA,CYKO,AKV,Akulivik,"-78.14859771728516, 60.818599700927734"
Waskaganish Airport,CA,CYKQ,YKQ,Waskaganish,"-78.75830078125, 51.47330093383789"
Kirkland Lake Airport,CA,CYKX,YKX,Kirkland Lake,"-79.98139953613281, 48.21030044555664"
Kindersley Airport,CA,CYKY,YKY,Kindersley,"-109.180999756, 51.5175018311"
Buttonville Municipal Airport,CA,CYKZ,YKZ,Toronto,"-79.37000274658203, 43.86220169067383"
Aupaluk Airport,CA,CYLA,YPJ,Aupaluk,"-69.59970092773438, 59.29669952392578"
Kimmirut Airport,CA,CYLC,YLC,Kimmirut,"-69.88330078119999, 62.8499984741"
Chapleau Airport,CA,CYLD,YLD,Chapleau,"-83.3467025756836, 47.81999969482422"
Lansdowne House Airport,CA,CYLH,YLH,Lansdowne House,"-87.93419647216797, 52.19559860229492"
Meadow Lake Airport,CA,CYLJ,YLJ,Meadow Lake,"-108.52300262451172, 54.125301361083984"
Lutselk'e Airport,CA,CYLK,YSG,Lutselk'e,"-110.681998, 62.418303"
Lloydminster Airport,CA,CYLL,YLL,Lloydminster,"-110.072998046875, 53.309200286865234"
Leaf Rapids Airport,CA,CYLR,YLR,Leaf Rapids,"-99.98529815673828, 56.513301849365234"
Alert Airport,CA,CYLT,YLT,Alert,"-62.2806015015, 82.51779937740001"
Kangiqsualujjuaq (Georges River) Airport,CA,CYLU,XGR,Kangiqsualujjuaq,"-65.9927978515625, 58.71139907836914"
Kelowna International Airport,CA,CYLW,YLW,Kelowna,"-119.377998352, 49.9561004639"
Mayo Airport,CA,CYMA,YMA,Mayo,"-135.8679962158203, 63.61640167236328"
Matane Airport,CA,CYME,YME,Matane,"-67.45330047607422, 48.85689926147461"
Manitouwadge Airport,CA,CYMG,YMG,Manitouwadge,"-85.86060333251953, 49.083900451660156"
Mary's Harbour Airport,CA,CYMH,YMH,Mary's Harbour,"-55.847198486328125, 52.302799224853516"
Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,CYMJ,YMJ,Moose Jaw,"-105.55899810791016, 50.330299377441406"
Charlevoix Airport,CA,CYML,YML,Charlevoix,"-70.2238998413086, 47.59749984741211"
Fort McMurray Airport,CA,CYMM,YMM,Fort McMurray,"-111.222000122, 56.653301239"
Moosonee Airport,CA,CYMO,YMO,Moosonee,"-80.60780334472656, 51.291099548339844"
Chapais Airport,CA,CYMT,YMT,Chibougamau,"-74.5280990600586, 49.77190017700195"
Umiujaq Airport,CA,CYMU,YUD,Umiujaq,"-76.51830291748047, 56.53609848022461"
Montreal International (Mirabel) Airport,CA,CYMX,YMX,Montr����al,"-74.038696, 45.679501"
Natashquan Airport,CA,CYNA,YNA,Natashquan,"-61.78919982910156, 50.189998626708984"
Wemindji Airport,CA,CYNC,YNC,Wemindji,"-78.83110046386719, 53.01060104370117"
Ottawa / Gatineau Airport,CA,CYND,YND,Gatineau,"-75.563599, 45.521702"
Norway House Airport,CA,CYNE,YNE,Norway House,"-97.84420013427734, 53.95830154418945"
Points North Landing Airport,CA,CYNL,YNL,Points North Landing,"-104.08200073242188, 58.27669906616211"
Matagami Airport,CA,CYNM,YNM,Matagami,"-77.80280303955078, 49.76169967651367"
Ekati Airport,CA,CYOA,YOA,Ekati,"-110.614997864, 64.6988983154"
Old Crow Airport,CA,CYOC,YOC,Old Crow,"-139.83900451660156, 67.57060241699219"
CFB Cold Lake,CA,CYOD,YOD,Cold Lake,"-110.27899932861328, 54.404998779296875"
Oxford House Airport,CA,CYOH,YOH,Oxford House,"-95.27890014648438, 54.93330001831055"
High Level Airport,CA,CYOJ,YOJ,High Level,"-117.16500091552734, 58.62139892578125"
Toronto/Oshawa Executive Airport,CA,CYOO,YOO,Oshawa,"-78.894997, 43.922798"
Rainbow Lake Airport,CA,CYOP,YOP,Rainbow Lake,"-119.40799713134766, 58.49140167236328"
Owen Sound / Billy Bishop Regional Airport,CA,CYOS,YOS,Owen Sound,"-80.8375015259, 44.5903015137"
Ottawa Macdonald-Cartier International Airport,CA,CYOW,YOW,Ottawa,"-75.66919708251953, 45.3224983215332"
Prince Albert Glass Field,CA,CYPA,YPA,Prince Albert,"-105.672996521, 53.214199066199996"
Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,CYPC,YPC,Paulatuk,"-124.075469971, 69.3608381154"
Port Hawkesbury Airport,CA,CYPD,YPS,Port Hawkesbury,"-61.3680992126, 45.6567001343"
Peace River Airport,CA,CYPE,YPE,Peace River,"-117.446999, 56.226898"
Portage-la-Prairie / Southport Airport,CA,CYPG,YPG,Portage la Prairie,"-98.273817, 49.903099"
Inukjuak Airport,CA,CYPH,YPH,Inukjuak,"-78.07689666748047, 58.471900939941406"
Pickle Lake Airport,CA,CYPL,YPL,Pickle Lake,"-90.21420288085938, 51.4463996887207"
Pikangikum Airport,CA,CYPM,YPM,Pikangikum,"-93.97329711914062, 51.819698333740234"
Port Menier Airport,CA,CYPN,YPN,Port-Menier,"-64.2885971069336, 49.83639907836914"
Peawanuck Airport,CA,CYPO,YPO,Peawanuck,"-85.44329833984375, 54.98809814453125"
Peterborough Airport,CA,CYPQ,YPQ,Peterborough,"-78.36329650878906, 44.22999954223633"
Prince Rupert Airport,CA,CYPR,YPR,Prince Rupert,"-130.445007324, 54.286098480199996"
Powell River Airport,CA,CYPW,YPW,Powell River,"-124.5, 49.83420181274414"
Puvirnituq Airport,CA,CYPX,YPX,Puvirnituq,"-77.28690338134766, 60.05059814453125"
Fort Chipewyan Airport,CA,CYPY,YPY,Fort Chipewyan,"-111.11699676513672, 58.7672004699707"
Muskoka Airport,CA,CYQA,YQA,Muskoka,"-79.30329895019531, 44.974700927734375"
Quebec Jean Lesage International Airport,CA,CYQB,YQB,Quebec,"-71.393303, 46.7911"
The Pas Airport,CA,CYQD,YQD,The Pas,"-101.09100341796875, 53.97140121459961"
Red Deer Regional Airport,CA,CYQF,YQF,Red Deer,"-113.89399719238281, 52.18220138549805"
Windsor Airport,CA,CYQG,YQG,Windsor,"-82.95559692382812, 42.27560043334961"
Watson Lake Airport,CA,CYQH,YQH,Watson Lake,"-128.82200622558594, 60.11640167236328"
Yarmouth Airport,CA,CYQI,YQI,Yarmouth,"-66.08809661865234, 43.826900482177734"
Kenora Airport,CA,CYQK,YQK,Kenora,"-94.36309814453125, 49.788299560546875"
Lethbridge County Airport,CA,CYQL,YQL,Lethbridge,"-112.800003052, 49.6302986145"
Greater Moncton Rom����o LeBlanc International Airport,CA,CYQM,YQM,Moncton,"-64.678596, 46.112202"
Nakina Airport,CA,CYQN,YQN,Nakina,"-86.69640350341797, 50.18280029296875"
Comox Airport,CA,CYQQ,YQQ,Comox,"-124.88700103759766, 49.71080017089844"
Regina International Airport,CA,CYQR,YQR,Regina,"-104.66600036621094, 50.43190002441406"
St Thomas Municipal Airport,CA,CYQS,YQS,St Thomas,"-81.11080169677734, 42.77000045776367"
Thunder Bay Airport,CA,CYQT,YQT,Thunder Bay,"-89.32389831542969, 48.37189865112305"
Grande Prairie Airport,CA,CYQU,YQU,Grande Prairie,"-118.885002136, 55.1796989441"
Yorkton Municipal Airport,CA,CYQV,YQV,Yorkton,"-102.46199798583984, 51.26470184326172"
North Battleford Airport,CA,CYQW,YQW,North Battleford,"-108.24400329589844, 52.76919937133789"
Gander International Airport,CA,CYQX,YQX,Gander,"-54.56809997558594, 48.9369010925293"
Sydney / J.A. Douglas McCurdy Airport,CA,CYQY,YQY,Sydney,"-60.047798, 46.1614"
Quesnel Airport,CA,CYQZ,YQZ,Quesnel,"-122.51000213623047, 53.026100158691406"
Rae Lakes Airport,CA,CYRA,YRA,Gam����t����,"-117.30999755859375, 64.11609649658203"
Resolute Bay Airport,CA,CYRB,YRB,Resolute Bay,"-94.9693984985, 74.7169036865"
Rivi����re-du-Loup Airport,CA,CYRI,YRI,Rivi����re-du-Loup,"-69.58470153808594, 47.764400482177734"
Roberval Airport,CA,CYRJ,YRJ,Roberval,"-72.2656021118164, 48.52000045776367"
Red Lake Airport,CA,CYRL,YRL,Red Lake,"-93.79309844970703, 51.066898345947266"
Ottawa / Rockcliffe Airport,CA,CYRO,YRO,Ottawa,"-75.64610290530001, 45.4603004456"
Trois-Rivi����res Airport,CA,CYRQ,YRQ,Trois-Rivi����res,"-72.67939758300781, 46.35279846191406"
Red Sucker Lake Airport,CA,CYRS,YRS,Red Sucker Lake,"-93.55719757080078, 54.167198181152344"
Rankin Inlet Airport,CA,CYRT,YRT,Rankin Inlet,"-92.1157989502, 62.8114013672"
Revelstoke Airport,CA,CYRV,YRV,Revelstoke,"-118.182998657, 50.9667015076"
Sudbury Airport,CA,CYSB,YSB,Sudbury,"-80.79889678955078, 46.625"
Sherbrooke Airport,CA,CYSC,YSC,Sherbrooke,"-71.69139862060547, 45.4385986328125"
Stony Rapids Airport,CA,CYSF,YSF,Stony Rapids,"-105.84100341796875, 59.250301361083984"
Smiths Falls-Montague (Russ Beach) Airport,CA,CYSH,YSH,Smiths Falls,"-75.94059753417969, 44.94580078125"
Saint John Airport,CA,CYSJ,YSJ,Saint John,"-65.89029693603516, 45.31610107421875"
Sanikiluaq Airport,CA,CYSK,YSK,Sanikiluaq,"-79.2466964722, 56.5377998352"
St Leonard Airport,CA,CYSL,YSL,St Leonard,"-67.83470153808594, 47.157501220703125"
Fort Smith Airport,CA,CYSM,YSM,Fort Smith,"-111.96199798583984, 60.020301818847656"
Niagara District Airport,CA,CYSN,YCM,St Catharines,"-79.17169952392578, 43.19169998168945"
Marathon Airport,CA,CYSP,YSP,Marathon,"-86.34439849853516, 48.75529861450195"
St. Theresa Point Airport,CA,CYST,YST,St. Theresa Point,"-94.85189819335938, 53.84560012817383"
Summerside Airport,CA,CYSU,YSU,Summerside,"-63.83359909057617, 46.44060134887695"
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CA,CYSY,YSY,Sachs Harbour,"-125.242996216, 71.9938964844"
Pembroke Airport,CA,CYTA,YTA,Pembroke,"-77.25170135498047, 45.86439895629883"
Cape Dorset Airport,CA,CYTE,YTE,Cape Dorset,"-76.5267028809, 64.2300033569"
Alma Airport,CA,CYTF,YTF,Alma,"-71.64189910889999, 48.50889968869999"
Thompson Airport,CA,CYTH,YTH,Thompson,"-97.86419677734375, 55.80110168457031"
Big Trout Lake Airport,CA,CYTL,YTL,Big Trout Lake,"-89.89689636230469, 53.81779861450195"
Tasiujaq Airport,CA,CYTQ,YTQ,Tasiujaq,"-69.95580291748047, 58.66780090332031"
CFB Trenton,CA,CYTR,YTR,Trenton,"-77.5280990600586, 44.118900299072266"
Timmins/Victor M. Power,CA,CYTS,YTS,Timmins,"-81.376701355, 48.569698333699996"
Billy Bishop Toronto City Centre Airport,CA,CYTZ,YTZ,Toronto,"-79.396202, 43.627499"
Tuktoyaktuk Airport,CA,CYUB,YUB,Tuktoyaktuk,"-133.0260009765625, 69.43329620361328"
Montreal / Pierre Elliott Trudeau International Airport,CA,CYUL,YUL,Montr����al,"-73.7407989502, 45.4706001282"
Naujaat Airport,CA,CYUT,YUT,Repulse Bay,"-86.224701, 66.5214"
Hall Beach Airport,CA,CYUX,YUX,Hall Beach,"-81.2425, 68.77610015869999"
Rouyn Noranda Airport,CA,CYUY,YUY,Rouyn-Noranda,"-78.83560180664062, 48.20610046386719"
Bonaventure Airport,CA,CYVB,YVB,Bonaventure,"-65.46029663085938, 48.07109832763672"
La Ronge Airport,CA,CYVC,YVC,La Ronge,"-105.262001038, 55.151401519800004"
Vernon Airport,CA,CYVK,YVE,Vernon,"-119.33100128173828, 50.24810028076172"
Qikiqtarjuaq Airport,CA,CYVM,YVM,Qikiqtarjuaq,"-64.03140258789999, 67.5457992554"
Val-d'Or Airport,CA,CYVO,YVO,Val-d'Or,"-77.7827987671, 48.0532989502"
